,date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
1,09/02/2022,2597523,93,3266,28141,0,32
2,08/02/2022,2597430,2007,4262,28141,13,41
3,07/02/2022,2595423,4564,5127,28128,39,48
4,06/02/2022,2590859,1722,5973,28089,40,50
5,05/02/2022,2589137,2570,6204,28049,43,52
6,04/02/2022,2586567,5465,6614,28006,45,53
7,03/02/2022,2581102,6440,7416,27961,43,53
8,02/02/2022,2574662,7068,8249,27918,66,54
9,01/02/2022,2567594,8058,9361,27852,57,53
10,31/01/2022,2559536,10486,10508,27795,55,52
11,30/01/2022,2549050,3344,11765,27740,56,51
12,29/01/2022,2545706,5435,12269,27684,49,53
13,28/01/2022,2540271,11081,12991,27635,47,53
14,27/01/2022,2529190,12269,14788,27588,46,56
15,26/01/2022,2516921,14856,17017,27542,58,57
16,25/01/2022,2502065,16087,19651,27484,55,59
17,24/01/2022,2485978,19282,22999,27429,43,59
18,23/01/2022,2466696,6873,23554,27386,71,61
19,22/01/2022,2459823,10488,24227,27315,51,58
20,21/01/2022,2449335,23662,25492,27264,69,60
21,20/01/2022,2425673,27869,27362,27195,53,58
22,19/01/2022,2397804,33298,28918,27142,71,59
23,18/01/2022,2364506,39523,30062,27071,57,58
24,17/01/2022,2324983,23167,30683,27014,55,57
25,16/01/2022,2301816,11581,33904,26959,53,54
26,15/01/2022,2290235,19342,34795,26906,65,51
27,14/01/2022,2270893,36753,36338,26841,53,47
28,13/01/2022,2234140,38762,38585,26788,61,43
29,12/01/2022,2195378,41309,40694,26727,62,40
30,11/01/2022,2154069,43869,42893,26665,49,36
31,10/01/2022,2110200,45709,44904,26616,34,33
32,09/01/2022,2064491,17819,45337,26582,32,32
33,08/01/2022,2046672,30146,45629,26550,40,30
34,07/01/2022,2016526,52480,42774,26510,25,27
35,06/01/2022,1964046,53524,38486,26485,37,26
36,05/01/2022,1910522,56706,34986,26448,33,22
37,04/01/2022,1853816,57942,31517,26415,29,20
38,03/01/2022,1795874,48743,28176,26386,29,18
39,02/01/2022,1747131,19865,25310,26357,15,17
40,01/01/2022,1727266,10155,24252,26342,19,17
41,31/12/2021,1717111,22468,23434,26323,17,16
42,30/12/2021,1694643,29024,21585,26306,13,15
43,29/12/2021,1665619,32422,19374,26293,19,17
44,28/12/2021,1633197,34554,16705,26274,17,16
45,27/12/2021,1598643,28682,13368,26257,22,15
46,26/12/2021,1569961,12459,10528,26235,12,14
47,25/12/2021,1557502,4430,9328,26223,14,14
48,24/12/2021,1553072,9527,9257,26209,11,14
49,23/12/2021,1543545,13544,8493,26198,21,15
50,22/12/2021,1530001,13737,7105,26177,14,14
51,21/12/2021,1516264,11197,5654,26163,12,15
52,20/12/2021,1505067,8805,4451,26151,12,14
53,19/12/2021,1496262,4053,3605,26139,16,15
54,18/12/2021,1492209,3933,3200,26123,13,14
55,17/12/2021,1488276,4181,2794,26110,18,15
56,16/12/2021,1484095,3828,2413,26092,13,13
57,15/12/2021,1480267,3582,2083,26079,18,14
58,14/12/2021,1476685,2776,1826,26061,10,12
59,13/12/2021,1473909,2880,1664,26051,14,13
60,12/12/2021,1471029,1220,1520,26037,10,12
61,11/12/2021,1469809,1091,1471,26027,20,12
62,10/12/2021,1468718,1517,1452,26007,7,10
63,09/12/2021,1467201,1516,1450,26000,16,11
64,08/12/2021,1465685,1783,1462,25984,10,11
65,07/12/2021,1463902,1640,1461,25974,12,12
66,06/12/2021,1462262,1871,1491,25962,9,13
67,05/12/2021,1460391,882,1528,25953,10,14
68,04/12/2021,1459509,952,1546,25943,8,15
69,03/12/2021,1458557,1504,1533,25935,13,15
70,02/12/2021,1457053,1599,1455,25922,15,15
71,01/12/2021,1455454,1779,1298,25907,20,15
72,30/11/2021,1453675,1849,1187,25887,16,14
73,29/11/2021,1451826,2128,1076,25871,17,15
74,28/11/2021,1449698,1014,919,25854,15,14
75,27/11/2021,1448684,855,864,25839,10,13
76,26/11/2021,1447829,958,838,25829,11,13
77,25/11/2021,1446871,502,839,25818,16,13
78,24/11/2021,1446369,1001,923,25802,11,13
79,23/11/2021,1445368,1074,947,25791,23,13
80,22/11/2021,1444294,1027,962,25768,11,10
81,21/11/2021,1443267,632,1007,25757,12,11
82,20/11/2021,1442635,670,1012,25745,10,12
83,19/11/2021,1441965,970,1020,25735,11,12
84,18/11/2021,1440995,1089,1036,25724,10,12
85,17/11/2021,1439906,1169,1014,25714,11,13
86,16/11/2021,1438737,1179,1021,25703,6,14
87,15/11/2021,1437558,1338,1038,25697,20,16
88,14/11/2021,1436220,669,1051,25677,15,15
89,13/11/2021,1435551,728,1066,25662,12,15
90,12/11/2021,1434823,1077,1076,25650,13,14
91,11/11/2021,1433746,935,1108,25637,16,15
92,10/11/2021,1432811,1220,1164,25621,18,15
93,09/11/2021,1431591,1300,1193,25603,19,13
94,08/11/2021,1430291,1428,1203,25584,11,13
95,07/11/2021,1428863,774,1212,25573,13,13
96,06/11/2021,1428089,799,1207,25560,11,13
97,05/11/2021,1427290,1303,1210,25549,15,13
98,04/11/2021,1425987,1322,1187,25534,15,12
99,03/11/2021,1424665,1425,1172,25519,10,12
100,02/11/2021,1423240,1373,1158,25509,14,12
101,01/11/2021,1421867,1488,1151,25495,14,11
102,31/10/2021,1420379,740,1138,25481,12,11
103,30/10/2021,1419639,819,1129,25469,11,11
104,29/10/2021,1418820,1145,1121,25458,9,12
105,28/10/2021,1417675,1216,1115,25449,12,12
106,27/10/2021,1416459,1325,1099,25437,10,12
107,26/10/2021,1415134,1325,1086,25427,12,12
108,25/10/2021,1413809,1393,1075,25415,12,12
109,24/10/2021,1412416,682,1066,25403,13,11
110,23/10/2021,1411734,763,1063,25390,13,12
111,22/10/2021,1410971,1098,1055,25377,11,13
112,21/10/2021,1409873,1109,1037,25366,15,13
113,20/10/2021,1408764,1230,1029,25351,9,13
114,19/10/2021,1407534,1252,1003,25342,9,13
115,18/10/2021,1406282,1327,971,25333,10,14
116,17/10/2021,1404955,661,947,25323,14,14
117,16/10/2021,1404294,707,937,25309,23,13
118,15/10/2021,1403587,972,930,25286,10,11
119,14/10/2021,1402615,1054,926,25276,13,12
120,13/10/2021,1401561,1050,910,25263,13,13
121,12/10/2021,1400511,1024,918,25250,16,14
122,11/10/2021,1399487,1160,929,25234,11,15
123,10/10/2021,1398327,591,941,25223,8,15
124,09/10/2021,1397736,658,943,25215,7,16
125,08/10/2021,1397078,943,958,25208,19,19
126,07/10/2021,1396135,943,994,25189,18,19
127,06/10/2021,1395192,1107,1031,25171,17,18
128,05/10/2021,1394085,1099,1058,25154,23,18
129,04/10/2021,1392986,1245,1090,25131,14,18
130,03/10/2021,1391741,608,1119,25117,15,18
131,02/10/2021,1391133,758,1134,25102,25,18
132,01/10/2021,1390375,1200,1150,25077,19,18
133,30/09/2021,1389175,1200,1148,25058,12,18
134,29/09/2021,1387975,1293,1161,25046,20,19
135,28/09/2021,1386682,1326,1177,25026,19,20
136,27/09/2021,1385356,1451,1204,25007,17,21
137,26/09/2021,1383905,709,1277,24990,16,21
138,25/09/2021,1383196,868,1284,24974,23,22
139,24/09/2021,1382328,1192,1299,24951,21,22
140,23/09/2021,1381136,1291,1324,24930,18,23
141,22/09/2021,1379845,1405,1350,24912,28,23
142,21/09/2021,1378440,1510,1403,24884,23,22
143,20/09/2021,1376930,1961,1443,24861,21,21
144,19/09/2021,1374969,759,1445,24840,18,21
145,18/09/2021,1374210,973,1473,24822,27,21
146,17/09/2021,1373237,1372,1505,24795,23,21
147,16/09/2021,1371865,1467,1574,24772,23,21
148,15/09/2021,1370398,1776,1651,24749,18,22
149,14/09/2021,1368622,1790,1707,24731,20,23
150,13/09/2021,1366832,1979,1780,24711,18,24
151,12/09/2021,1364853,951,1680,24693,20,26
152,11/09/2021,1363902,1197,1677,24673,22,28
153,10/09/2021,1362705,1859,1694,24651,25,29
154,09/09/2021,1360846,2006,1685,24626,33,30
155,08/09/2021,1358840,2168,1703,24593,23,31
156,07/09/2021,1356672,2301,1733,24570,30,32
157,06/09/2021,1354371,1281,1754,24540,29,31
158,05/09/2021,1353090,927,1962,24511,35,30
159,04/09/2021,1352163,1315,2006,24476,28,29
160,03/09/2021,1350848,1795,2036,24448,33,29
161,02/09/2021,1349053,2135,2100,24415,40,28
162,01/09/2021,1346918,2375,2164,24375,29,27
163,31/08/2021,1344543,2453,2231,24346,25,27
164,30/08/2021,1342090,2736,2300,24321,20,27
165,29/08/2021,1339354,1236,2378,24301,30,29
166,28/08/2021,1338118,1522,2388,24271,27,26
167,27/08/2021,1336596,2243,2439,24244,26,25
168,26/08/2021,1334353,2580,2545,24218,31,25
169,25/08/2021,1331773,2846,2625,24187,28,24
170,24/08/2021,1328927,2938,2726,24159,27,24
171,23/08/2021,1325989,3284,2793,24132,31,24
172,22/08/2021,1322705,1304,2831,24101,11,23
173,21/08/2021,1321401,1880,2905,24090,23,24
174,20/08/2021,1319521,2983,2973,24067,23,24
175,19/08/2021,1316538,3143,3003,24044,25,25
176,18/08/2021,1313395,3552,3031,24019,25,25
177,17/08/2021,1309843,3403,3059,23994,28,24
178,16/08/2021,1306440,3551,3148,23966,28,23
179,15/08/2021,1302889,1825,3245,23938,15,23
180,14/08/2021,1301064,2356,3278,23923,27,23
181,13/08/2021,1298708,3193,3303,23896,30,22
182,12/08/2021,1295515,3339,3304,23866,22,21
183,11/08/2021,1292176,3743,3327,23844,15,21
184,10/08/2021,1288433,4026,3330,23829,23,21
185,09/08/2021,1284407,4231,3289,23806,26,20
186,08/08/2021,1280176,2059,3210,23780,18,18
187,07/08/2021,1278117,2531,3235,23762,22,16
188,06/08/2021,1275586,3201,3215,23740,18,15
189,05/08/2021,1272385,3497,3206,23722,23,13
190,04/08/2021,1268888,3767,3160,23699,19,12
191,03/08/2021,1265121,3737,3120,23680,11,10
192,02/08/2021,1261384,3679,3063,23669,13,10
193,01/08/2021,1257705,2230,3024,23656,8,9
194,31/07/2021,1255475,2392,2961,23648,11,9
195,30/07/2021,1253083,3139,2895,23637,6,8
196,29/07/2021,1249944,3175,2796,23631,13,10
197,28/07/2021,1246769,3491,2694,23618,6,10
198,27/07/2021,1243278,3332,2597,23612,13,9
199,26/07/2021,1239946,3407,2503,23599,7,9
200,25/07/2021,1236539,1789,2401,23592,8,9
201,24/07/2021,1234750,1934,2372,23584,6,9
202,23/07/2021,1232816,2447,2322,23578,16,9
203,22/07/2021,1230369,2459,2263,23562,12,7
204,21/07/2021,1227910,2808,2206,23550,4,6
205,20/07/2021,1225102,2677,2085,23546,8,6
206,19/07/2021,1222425,2690,1966,23538,10,6
207,18/07/2021,1219735,1590,1841,23528,5,5
208,17/07/2021,1218145,1583,1763,23523,8,5
209,16/07/2021,1216562,2034,1686,23515,2,5
210,15/07/2021,1214528,2059,1577,23513,5,5
211,14/07/2021,1212469,1963,1459,23508,6,5
212,13/07/2021,1210506,1843,1360,23502,4,5
213,12/07/2021,1208663,1818,1273,23498,4,5
214,11/07/2021,1206845,1042,1144,23494,6,5
215,10/07/2021,1205803,1041,1059,23488,6,5
216,09/07/2021,1204762,1272,984,23482,6,5
217,08/07/2021,1203490,1233,893,23476,2,5
218,07/07/2021,1202257,1270,815,23474,4,5
219,06/07/2021,1200987,1233,723,23470,5,6
220,05/07/2021,1199754,916,624,23465,5,5
221,04/07/2021,1198838,447,575,23460,8,6
222,03/07/2021,1198391,514,557,23452,5,5
223,02/07/2021,1197877,640,525,23447,4,5
224,01/07/2021,1197237,685,481,23443,5,5
225,30/06/2021,1196552,625,432,23438,7,4
226,29/06/2021,1195927,539,389,23431,4,4
227,28/06/2021,1195388,572,356,23427,6,3
228,27/06/2021,1194816,327,319,23421,4,3
229,26/06/2021,1194489,290,301,23417,3,2
230,25/06/2021,1194199,329,285,23414,3,3
231,24/06/2021,1193870,344,272,23411,3,3
232,23/06/2021,1193526,319,256,23408,2,2
233,22/06/2021,1193207,310,246,23406,2,3
234,21/06/2021,1192897,312,237,23404,3,3
235,20/06/2021,1192585,202,232,23401,1,3
236,19/06/2021,1192383,177,223,23400,4,3
237,18/06/2021,1192206,237,222,23396,3,3
238,17/06/2021,1191969,236,215,23393,2,3
239,16/06/2021,1191733,247,211,23391,7,4
240,15/06/2021,1191486,250,207,23384,0,3
241,14/06/2021,1191236,276,206,23384,4,3
242,13/06/2021,1190960,139,198,23380,2,3
243,12/06/2021,1190821,170,199,23378,1,4
244,11/06/2021,1190651,190,194,23377,7,4
245,10/06/2021,1190461,202,195,23370,5,3
246,09/06/2021,1190259,222,198,23365,3,3
247,08/06/2021,1190037,242,203,23362,2,3
248,07/06/2021,1189795,221,208,23360,1,3
249,06/06/2021,1189574,144,194,23359,6,4
250,05/06/2021,1189430,137,194,23353,3,4
251,04/06/2021,1189293,198,193,23350,3,4
252,03/06/2021,1189095,222,191,23347,4,4
253,02/06/2021,1188873,259,187,23343,5,5
254,01/06/2021,1188614,274,179,23338,0,5
255,31/05/2021,1188340,124,168,23338,5,5
256,30/05/2021,1188216,141,181,23333,5,5
257,29/05/2021,1188075,132,179,23328,5,5
258,28/05/2021,1187943,184,179,23323,3,5
259,27/05/2021,1187759,196,177,23320,11,5
260,26/05/2021,1187563,203,180,23309,3,5
261,25/05/2021,1187360,198,179,23306,5,6
262,24/05/2021,1187162,214,180,23301,5,5
263,23/05/2021,1186948,125,187,23296,6,5
264,22/05/2021,1186823,130,190,23290,4,5
265,21/05/2021,1186693,176,194,23286,3,5
266,20/05/2021,1186517,217,200,23283,8,5
267,19/05/2021,1186300,194,199,23275,9,5
268,18/05/2021,1186106,204,208,23266,2,5
269,17/05/2021,1185902,261,222,23264,5,6
270,16/05/2021,1185641,148,225,23259,4,6
271,15/05/2021,1185493,155,228,23255,3,7
272,14/05/2021,1185338,219,232,23252,6,8
273,13/05/2021,1185119,215,237,23246,7,8
274,12/05/2021,1184904,254,248,23239,8,7
275,11/05/2021,1184650,299,257,23231,10,7
276,10/05/2021,1184351,288,257,23221,3,7
277,09/05/2021,1184063,167,271,23218,9,7
278,08/05/2021,1183896,180,274,23209,10,7
279,07/05/2021,1183716,257,281,23199,6,6
280,06/05/2021,1183459,291,288,23193,6,6
281,05/05/2021,1183168,316,294,23187,8,6
282,04/05/2021,1182852,303,301,23179,7,6
283,03/05/2021,1182549,383,308,23172,6,6
284,02/05/2021,1182166,189,306,23166,6,7
285,01/05/2021,1181977,229,313,23160,5,7
286,30/04/2021,1181748,305,322,23155,6,7
287,29/04/2021,1181443,332,329,23149,7,7
288,28/04/2021,1181111,364,335,23142,5,8
289,27/04/2021,1180747,352,338,23137,9,9
290,26/04/2021,1180395,371,347,23128,10,9
291,25/04/2021,1180024,235,364,23118,4,8
292,24/04/2021,1179789,295,373,23114,9,9
293,23/04/2021,1179494,355,382,23105,8,9
294,22/04/2021,1179139,370,396,23097,8,9
295,21/04/2021,1178769,386,408,23089,16,9
296,20/04/2021,1178383,418,427,23073,7,9
297,19/04/2021,1177965,492,447,23066,6,9
298,18/04/2021,1177473,293,458,23060,10,9
299,17/04/2021,1177180,363,458,23050,5,9
300,16/04/2021,1176817,451,465,23045,8,9
301,15/04/2021,1176366,452,480,23037,12,10
302,14/04/2021,1175914,522,483,23025,12,10
303,13/04/2021,1175392,554,487,23013,11,11
304,12/04/2021,1174838,568,493,23002,5,11
305,11/04/2021,1174270,297,499,22997,7,12
306,10/04/2021,1173973,410,502,22990,11,13
307,09/04/2021,1173563,554,492,22979,11,13
308,08/04/2021,1173009,473,489,22968,13,13
309,07/04/2021,1172536,556,492,22955,16,13
310,06/04/2021,1171980,595,486,22939,11,12
311,05/04/2021,1171385,607,479,22928,16,13
312,04/04/2021,1170778,320,480,22912,15,12
313,03/04/2021,1170458,342,484,22897,7,12
314,02/04/2021,1170116,532,484,22890,11,14
315,01/04/2021,1169584,493,472,22879,12,15
316,31/03/2021,1169091,515,472,22867,12,16
317,30/03/2021,1168576,547,477,22855,15,17
318,29/03/2021,1168029,612,473,22840,13,17
319,28/03/2021,1167417,347,465,22827,14,18
320,27/03/2021,1167070,340,460,22813,19,19
321,26/03/2021,1166730,450,461,22794,21,21
322,25/03/2021,1166280,496,463,22773,21,21
323,24/03/2021,1165784,549,462,22752,18,22
324,23/03/2021,1165235,514,463,22734,14,24
325,22/03/2021,1164721,562,475,22720,19,25
326,21/03/2021,1164159,309,480,22701,22,25
327,20/03/2021,1163850,346,486,22679,31,25
328,19/03/2021,1163504,467,494,22648,25,26
329,18/03/2021,1163037,487,508,22623,26,27
330,17/03/2021,1162550,555,521,22597,30,28
331,16/03/2021,1161995,598,531,22567,24,29
332,15/03/2021,1161397,596,537,22543,15,30
333,14/03/2021,1160801,355,558,22528,25,33
334,13/03/2021,1160446,401,572,22503,34,35
335,12/03/2021,1160045,561,586,22469,38,35
336,11/03/2021,1159484,579,596,22431,27,35
337,10/03/2021,1158905,626,608,22404,37,37
338,09/03/2021,1158279,639,613,22367,34,39
339,08/03/2021,1157640,746,621,22333,37,41
340,07/03/2021,1156894,454,631,22296,37,43
341,06/03/2021,1156440,497,638,22259,35,48
342,05/03/2021,1155943,634,655,22224,36,52
343,04/03/2021,1155309,658,674,22188,45,56
344,03/03/2021,1154651,666,691,22143,48,59
345,02/03/2021,1153985,690,721,22095,51,62
346,01/03/2021,1153295,819,752,22044,51,62
347,28/02/2021,1152476,500,782,21993,72,65
348,27/02/2021,1151976,618,792,21921,58,66
349,26/02/2021,1151358,764,812,21863,67,67
350,25/02/2021,1150594,778,842,21796,67,71
